Title,Rating,Image_URL
Chicago P.D.,8.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Outer Banks,7.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
American Born Chinese,7.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
La casa de papel,8.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
9-1-1: Lone Star,7.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Voyager,7.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Cobra Kai,8.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Unbearable Weight of Massive Talent,7.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jurassic Park,8.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
24,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dunkirk,7.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Agents of S.H.I.E.L.D.,7.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Adipurush,3.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Terminator 2: Judgment Day,8.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Umbrella Academy,7.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Gladiator,6.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
SEAL Team,7.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Black Clover,8.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Thor: Love and Thunder,6.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Blade Runner,8.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Terminator,8.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Man of Steel,7.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Zack Snyder's Justice League,7.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ojing-eo geim,8.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jigokuraku,8.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
God Is a Bullet,6.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Magnum P.I.,6.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Deep Space Nine,8.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Matrix,8.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Mother,5.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Guardians of the Galaxy,8.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Person of Interest,8.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Sweet Tooth,7.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Captain Marvel,6.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Batman,7.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kindergarten Cop,6.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Arcane: League of Legends,9.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Shadow and Bone,7.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Hawaii Five-0,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
No Time to Die,7.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Loki,8.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Tenet,7.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Invincible,7.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Suicide Squad,7.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spartacus: Blood and Sand,8.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Gentlemen,7.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spider-Man,6.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
See,7.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Recruit,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
FBI,7.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mission: Impossible - Rogue Nation,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Miraculous: Tales of Ladybug & Cat Noir,7.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Bloody Daddy,7.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Dark Knight Rises,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
iNumber Number: Jozi Gold,4.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Punisher,6.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Unbroken,7.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Avengers: Infinity War,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kingsman: The Secret Service,7.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Transformers: The Last Knight,5.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dune,6.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Walker,6.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Plane,6.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Fifth Element,7.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Meg,5.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mission: Impossible - Ghost Protocol,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Titanic II,1.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Stargate SG-1,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Black Panther: Wakanda Forever,6.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Baywatch,5.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ready Player One,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
John Wick: Chapter 3 - Parabellum,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Léon,8.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
F9,5.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Deadpool,8.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Wars: The Clone Wars,5.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Gotham,7.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
NCIS: Los Angeles,6.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Terminal List,7.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jurassic World: Dominion,5.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Daredevil,8.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mad Max: Fury Road,8.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Gray Man,6.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Woman King,6.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Rabbit Hole,7.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
True Lies,5.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Black Adam,6.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Legion,5.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spider-Man: Homecoming,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ford v Ferrari,8.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Bumblebee,6.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Batman Begins,8.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Nobody,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Blood & Gold,6.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Night Manager,8.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Chuck,8.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Wheel of Time,7.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Rock,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Becky,5.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Clash of the Titans,6.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Im Westen nichts Neues,7.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Drive,7.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Station 19,7.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Wars,8.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Fast and the Furious,5.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Designated Survivor,7.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
47 Ronin,6.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Oldeuboi,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Avengers,8.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
John Wick: Chapter 2,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Hot Fuzz,7.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Red Sparrow,6.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Mummy,5.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Pirates of the Caribbean: Dead Men Tell No Tales,6.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mission: Impossible III,6.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Killing Eve,8.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Northman,7.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
